Fid,trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,Label
198.11.132.221-10.42.0.151-443-58753-6,9080545,3/31/2022 23:30,3/31/2022 23:46,2295,926,156,Clark St & Wellington Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1990,1
220.243.205.152-10.42.0.42-80-43946-6,9080521,3/31/2022 22:59,3/31/2022 23:02,3439,198,259,California Ave & Francis Pl,276,California Ave & North Ave,Subscriber,Male,1974,0
172.217.12.194-10.42.0.211-443-48689-6,9080479,3/31/2022 22:24,3/31/2022 22:26,4337,124,344,Ravenswood Ave & Lawrence Ave,242,Damen Ave & Leland Ave,Subscriber,Female,1992,1
10.42.0.151-104.244.43.227-44705-443-6,9080475,3/31/2022 22:22,3/31/2022 22:41,3760,1181,318,Southport Ave & Irving Park Rd,458,Broadway & Thorndale Ave,Subscriber,Female,1979,1
172.217.12.174-10.42.0.211-443-33432-6,9080443,3/31/2022 22:08,3/31/2022 22:19,1270,656,345,Lake Park Ave & 56th St,426,Ellis Ave & 60th St,Subscriber,Female,1997,0
203.130.53.126-10.42.0.211-80-48808-6,9080381,3/31/2022 21:44,3/31/2022 22:03,1381,1140,210,Ashland Ave & Division St,503,Drake Ave & Fullerton Ave,Subscriber,Male,1984,0
10.42.0.42-104.254.66.16-38306-80-6,9080301,3/31/2022 21:26,3/31/2022 21:33,4460,418,67,Sheffield Ave & Fullerton Ave,324,Stockton Dr & Wrightwood Ave,Subscriber,Male,1974,1
203.130.53.126-10.42.0.211-80-39361-6,9080155,3/31/2022 20:56,3/31/2022 21:13,2172,1022,23,Orleans St & Elm St (*),75,Canal St & Jackson Blvd,Subscriber,Male,1975,0
10.42.0.211-10.42.0.1-19963-53-17,9080133,3/31/2022 20:53,3/31/2022 20:59,1664,367,239,Western Ave & Leland Ave,472,Lincoln Ave & Winona St,Subscriber,Male,1983,1
222.73.28.96-10.42.0.42-80-56093-6,9080088,3/31/2022 20:42,3/31/2022 20:48,310,379,77,Clinton St & Madison St,56,Desplaines St & Kinzie St,Subscriber,Male,1986,1
169.45.248.108-10.42.0.151-5222-52853-6,9080029,3/31/2022 20:28,3/31/2022 20:39,4329,678,100,Orleans St & Merchandise Mart Plaza,5,State St & Harrison St,Subscriber,Male,1980,0
